"inst","ver","seed","custo","gap","iter","t_ms","viavel"
"Wren_02","ANTIGO","1","14979","7,701","12530","8039","1"
"Wren_02","ANTIGO","2","14293","2,768","15956","11202","1"
"Wren_02","ANTIGO","3","14680","5,551","9993","7853","1"
"Wren_02","ANTIGO","4","14550","4,616","6582","4624","1"
"Wren_02","ANTIGO","5","14614","5,076","12729","8894","1"
"Wren_02","NOVO","1","14620","5,119","40838","30000","1"
"Wren_02","NOVO","2","14293","2,768","38260","30000","1"
"Wren_02","NOVO","3","14366","3,293","35321","30000","1"
"Wren_02","NOVO","4","14318","2,948","39554","30000","1"
"Wren_02","NOVO","5","14369","3,315","39199","30000","1"
"Wren_03","ANTIGO","1","14605","5,987","17588","11136","1"
"Wren_03","ANTIGO","2","14870","7,91","12132","8136","1"
"Wren_03","ANTIGO","3","15256","10,711","6248","3711","1"
"Wren_03","ANTIGO","4","14495","5,189","26547","16368","1"
"Wren_03","ANTIGO","5","15097","9,557","12521","7720","1"
"Wren_03","NOVO","1","14139","2,605","46847","30000","1"
"Wren_03","NOVO","2","14593","5,9","48913","30000","1"
"Wren_03","NOVO","3","14231","3,273","49393","30000","1"
"Wren_03","NOVO","4","14449","4,855","50000","29713","1"
"Wren_03","NOVO","5","14358","4,194","47502","30000","1"
