experimento;instancia;melhor_conhecido;custo;gap_pct;n_col;iteracoes;tempo_ms;limite_ms;viavel;func;alpha;semente;modo_bl;pop
E1;Teste_01;557.44;557.44;0;9;5708;547;5000;1;3;0.10;1;3;50
E1;Teste_01;557.44;557.44;0;9;6231;533;5000;1;3;0.10;2;3;50
E1;Teste_01;557.44;594.76;6.6949;10;5573;467;5000;1;3;0.10;3;3;50
E1;Teste_01;557.44;594.76;6.6949;10;5112;417;5000;1;3;0.10;4;3;50
E1;Teste_01;557.44;557.44;0;9;5768;495;5000;1;3;0.10;5;3;50
E1;Teste_01;557.44;557.44;0;9;7962;562;5000;1;3;0.10;6;3;50
E1;Teste_01;557.44;594.76;6.6949;10;5576;434;5000;1;3;0.10;7;3;50
E1;Teste_01;557.44;557.44;0;9;9014;723;5000;1;3;0.10;8;3;50
E1;Teste_01;557.44;557.44;0;9;7104;526;5000;1;3;0.10;9;3;50
E1;Teste_01;557.44;557.44;0;9;5509;437;5000;1;3;0.10;10;3;50
E1;Teste_02;537.89;577.25;7.3175;10;6308;664;5000;1;3;0.10;1;3;50
E1;Teste_02;537.89;577.25;7.3175;10;10231;1007;5000;1;3;0.10;2;3;50
E1;Teste_02;537.89;551.4;2.5117;9;5250;598;5000;1;3;0.10;3;3;50
E1;Teste_02;537.89;577.25;7.3175;10;5086;525;5000;1;3;0.10;4;3;50
E1;Teste_02;537.89;544.6;1.2475;9;7137;721;5000;1;3;0.10;5;3;50
E1;Teste_02;537.89;577.25;7.3175;10;5262;550;5000;1;3;0.10;6;3;50
E1;Teste_02;537.89;544.6;1.2475;9;13089;1277;5000;1;3;0.10;7;3;50
E1;Teste_02;537.89;544.6;1.2475;9;6913;699;5000;1;3;0.10;8;3;50
E1;Teste_02;537.89;552.23;2.666;9;5656;567;5000;1;3;0.10;9;3;50
E1;Teste_02;537.89;548.32;1.9391;9;5842;656;5000;1;3;0.10;10;3;50
E1;Teste_03;517.58;515.3;-0.4405;9;10325;1334;5000;1;3;0.10;1;3;50
E1;Teste_03;517.58;515.3;-0.4405;9;10256;1343;5000;1;3;0.10;2;3;50
E1;Teste_03;517.58;515.3;-0.4405;9;9176;1155;5000;1;3;0.10;3;3;50
E1;Teste_03;517.58;517.52;-0.0116;9;5866;790;5000;1;3;0.10;4;3;50
E1;Teste_03;517.58;515.3;-0.4405;9;9196;1195;5000;1;3;0.10;5;3;50
E1;Teste_03;517.58;515.3;-0.4405;9;6458;831;5000;1;3;0.10;6;3;50
E1;Teste_03;517.58;515.3;-0.4405;9;11202;1600;5000;1;3;0.10;7;3;50
E1;Teste_03;517.58;515.3;-0.4405;9;10475;1489;5000;1;3;0.10;8;3;50
E1;Teste_03;517.58;515.3;-0.4405;9;5526;766;5000;1;3;0.10;9;3;50
E1;Teste_03;517.58;515.3;-0.4405;9;9124;1159;5000;1;3;0.10;10;3;50
E1;Teste_04;1162.8;1157.08;-0.4919;19;12766;1896;5000;1;3;0.10;1;3;50
E1;Teste_04;1162.8;1157.08;-0.4919;19;10568;1668;5000;1;3;0.10;2;3;50
E1;Teste_04;1162.8;1157.08;-0.4919;19;8646;1272;5000;1;3;0.10;3;3;50
E1;Teste_04;1162.8;1157.08;-0.4919;19;8738;1283;5000;1;3;0.10;4;3;50
E1;Teste_04;1162.8;1157.08;-0.4919;19;7665;1138;5000;1;3;0.10;5;3;50
E1;Teste_04;1162.8;1157.08;-0.4919;19;7010;1020;5000;1;3;0.10;6;3;50
E1;Teste_04;1162.8;1157.08;-0.4919;19;7465;1053;5000;1;3;0.10;7;3;50
E1;Teste_04;1162.8;1157.08;-0.4919;19;7135;978;5000;1;3;0.10;8;3;50
E1;Teste_04;1162.8;1157.08;-0.4919;19;7080;999;5000;1;3;0.10;9;3;50
E1;Teste_04;1162.8;1157.08;-0.4919;19;8475;1158;5000;1;3;0.10;10;3;50
E1;Teste_05;1020.12;1018.67;-0.1421;19;23766;4422;8000;1;3;0.10;1;3;50
E1;Teste_05;1020.12;1027.79;0.7519;19;7370;1490;8000;1;3;0.10;2;3;50
E1;Teste_05;1020.12;1019.85;-0.0265;19;5274;967;8000;1;3;0.10;3;3;50
E1;Teste_05;1020.12;1037.03;1.6576;19;5990;1085;8000;1;3;0.10;4;3;50
E1;Teste_05;1020.12;1024.02;0.3823;19;6257;1178;8000;1;3;0.10;5;3;50
E1;Teste_05;1020.12;1015.56;-0.447;18;7828;1371;8000;1;3;0.10;6;3;50
E1;Teste_05;1020.12;1020.34;0.0216;19;10745;2092;8000;1;3;0.10;7;3;50
E1;Teste_05;1020.12;1019.85;-0.0265;19;5196;1000;8000;1;3;0.10;8;3;50
E1;Teste_05;1020.12;1026.24;0.5999;19;10256;1853;8000;1;3;0.10;9;3;50
E1;Teste_05;1020.12;1015.51;-0.4519;19;14637;2490;8000;1;3;0.10;10;3;50
E1;Wren_01;7856;8142;3.6405;16;5017;626;10000;1;2;0.30;1;3;50
E1;Wren_01;7856;8142;3.6405;16;5168;697;10000;1;2;0.30;2;3;50
E1;Wren_01;7856;7856;0;15;5293;697;10000;1;2;0.30;3;3;50
E1;Wren_01;7856;8142;3.6405;16;5000;608;10000;1;2;0.30;4;3;50
E1;Wren_01;7856;8142;3.6405;16;5107;586;10000;1;2;0.30;5;3;50
E1;Wren_01;7856;8142;3.6405;16;5187;635;10000;1;2;0.30;6;3;50
E1;Wren_01;7856;8142;3.6405;16;5000;586;10000;1;2;0.30;7;3;50
E1;Wren_01;7856;8142;3.6405;16;5141;633;10000;1;2;0.30;8;3;50
E1;Wren_01;7856;8142;3.6405;16;5067;599;10000;1;2;0.30;9;3;50
E1;Wren_01;7856;8142;3.6405;16;5053;605;10000;1;2;0.30;10;3;50
E1;Wren_02;13908;14979;7.7006;37;12530;9296;30000;1;1;0.20;1;3;50
E1;Wren_02;13908;14293;2.7682;35;15956;12451;30000;1;1;0.20;2;3;50
E1;Wren_02;13908;14680;5.5508;36;9993;8167;30000;1;1;0.20;3;3;50
E1;Wren_02;13908;14550;4.616;36;6582;5225;30000;1;1;0.20;4;3;50
E1;Wren_02;13908;14614;5.0762;36;12729;9662;30000;1;1;0.20;5;3;50
E1;Wren_02;13908;14684;5.5795;36;12757;9372;30000;1;1;0.20;6;3;50
E1;Wren_02;13908;14441;3.8323;35;19960;16711;30000;1;1;0.20;7;3;50
E1;Wren_02;13908;14914;7.2332;37;5699;4527;30000;1;1;0.20;8;3;50
E1;Wren_02;13908;14754;6.0828;36;11198;9061;30000;1;1;0.20;9;3;50
E1;Wren_02;13908;14944;7.449;37;6305;4544;30000;1;1;0.20;10;3;50
E1;Wren_03;13780;14605;5.9869;35;17588;11343;30000;1;1;0.10;1;3;50
E1;Wren_03;13780;14870;7.91;36;12132;8294;30000;1;1;0.10;2;3;50
E1;Wren_03;13780;15256;10.7112;37;6248;3885;30000;1;1;0.10;3;3;50
E1;Wren_03;13780;14495;5.1887;35;26547;16307;30000;1;1;0.10;4;3;50
E1;Wren_03;13780;15097;9.5573;36;12521;7868;30000;1;1;0.10;5;3;50
E1;Wren_03;13780;14535;5.479;35;18287;11846;30000;1;1;0.10;6;3;50
E1;Wren_03;13780;15355;11.4296;37;10323;6507;30000;1;1;0.10;7;3;50
E1;Wren_03;13780;15006;8.897;36;11711;7540;30000;1;1;0.10;8;3;50
E1;Wren_03;13780;14602;5.9652;35;12816;8342;30000;1;1;0.10;9;3;50
E1;Wren_03;13780;14768;7.1698;35;21589;16549;30000;1;1;0.10;10;3;50
E1;Wren_04;58161;58558;0.6826;121;18077;37473;60000;1;3;0.10;1;3;50
E1;Wren_04;58161;58448;0.4935;121;18112;38927;60000;1;3;0.10;2;3;50
E1;Wren_04;58161;58550;0.6688;121;15360;33755;60000;1;3;0.10;3;3;50
E1;Wren_04;58161;58235;0.1272;120;12080;27057;60000;1;3;0.10;4;3;50
E1;Wren_04;58161;59254;1.8793;123;14368;33008;60000;1;3;0.10;5;3;50
E1;Wren_04;58161;57868;-0.5038;119;26276;60001;60000;1;3;0.10;6;3;50
E1;Wren_04;58161;58329;0.2889;120;20180;46871;60000;1;3;0.10;7;3;50
E1;Wren_04;58161;58342;0.3112;121;28730;60000;60000;1;3;0.10;8;3;50
E1;Wren_04;58161;58094;-0.1152;120;25817;60000;60000;1;3;0.10;9;3;50
E1;Wren_04;58161;58420;0.4453;121;15072;34386;60000;1;3;0.10;10;3;50
E2;Teste_01;557.44;594.76;6.6949;10;7552;161;5000;1;3;0.10;1;1;50
E2;Teste_01;557.44;557.44;0;9;12116;233;5000;1;3;0.10;2;1;50
E2;Teste_01;557.44;595.73;6.8689;10;7192;149;5000;1;3;0.10;3;1;50
E2;Teste_01;557.44;594.76;6.6949;10;8550;160;5000;1;3;0.10;4;1;50
E2;Teste_01;557.44;557.44;0;9;5727;111;5000;1;3;0.10;5;1;50
E2;Teste_01;557.44;557.44;0;9;14210;280;5000;1;3;0.10;6;1;50
E2;Teste_01;557.44;557.44;0;9;9878;480;5000;1;3;0.10;1;2;50
E2;Teste_01;557.44;557.44;0;9;9338;460;5000;1;3;0.10;2;2;50
E2;Teste_01;557.44;557.86;0.0753;9;5522;276;5000;1;3;0.10;3;2;50
E2;Teste_01;557.44;594.76;6.6949;10;8957;421;5000;1;3;0.10;4;2;50
E2;Teste_01;557.44;557.44;0;9;5000;278;5000;1;3;0.10;5;2;50
E2;Teste_01;557.44;557.44;0;9;5682;284;5000;1;3;0.10;6;2;50
E2;Teste_01;557.44;557.44;0;9;5708;409;5000;1;3;0.10;1;3;50
E2;Teste_01;557.44;557.44;0;9;6231;413;5000;1;3;0.10;2;3;50
E2;Teste_01;557.44;594.76;6.6949;10;5573;395;5000;1;3;0.10;3;3;50
E2;Teste_01;557.44;594.76;6.6949;10;5112;353;5000;1;3;0.10;4;3;50
E2;Teste_01;557.44;557.44;0;9;5768;424;5000;1;3;0.10;5;3;50
E2;Teste_01;557.44;557.44;0;9;7962;580;5000;1;3;0.10;6;3;50
E2;Teste_02;537.89;578.69;7.5852;10;8777;227;5000;1;3;0.10;1;1;50
E2;Teste_02;537.89;537.89;0;9;5006;143;5000;1;3;0.10;2;1;50
E2;Teste_02;537.89;544.6;1.2475;9;6406;180;5000;1;3;0.10;3;1;50
